Date,Close/Last,Volume,Open,High,Low
09/28/2020,$59.36,8615960,$58.28,$59.85,$58.25
09/25/2020,$58.23,6542598,$57.49,$58.38,$56.65
09/24/2020,$57.79,6318534,$56.94,$58.82,$56.76
09/23/2020,$57.25,8831791,$58.1,$58.88,$57.01
09/22/2020,$57.89,7629281,$57.96,$58.11,$56.71
09/21/2020,$57.32,8494306,$55.21,$57.36,$54.15
09/18/2020,$56.15,11913000,$56.79,$56.8,$55.195
09/17/2020,$56.34,7098656,$54.82,$56.63,$54.69
09/16/2020,$56.47,8340864,$57.49,$58.195,$56.38
09/15/2020,$57.2,7209788,$57.23,$57.88,$56.48
09/14/2020,$56.46,8495715,$56.23,$57.115,$56.12
09/11/2020,$55,9203264,$55.61,$56.31,$54.675
09/10/2020,$55.12,10670520,$55.6,$56.25,$54.94
09/09/2020,$55.2,16267600,$56.61,$56.98,$54.51
09/08/2020,$55.63,20934770,$57.07,$57.79,$55.32
09/04/2020,$60.96,14688160,$61.21,$61.83,$58.5498
09/03/2020,$61.46,11012980,$64.19,$64.37,$61.05
09/02/2020,$65.08,10802480,$62.49,$65.3,$62.37
09/01/2020,$61.89,7922675,$61.98,$62.1,$61.23
08/31/2020,$61.6,6454221,$62.44,$62.61,$61.4184
08/28/2020,$63.07,5206045,$62.06,$63.1,$61.97
08/27/2020,$62.03,8917799,$64.29,$64.29,$61.29
08/26/2020,$63.76,5965129,$64.05,$64.26,$63.49
08/25/2020,$64.05,5157230,$64.11,$64.65,$63.43
08/24/2020,$63.74,8366548,$63.36,$63.8,$62.68
08/21/2020,$62.27,11150610,$63.1,$63.28,$61.92
08/20/2020,$63.79,8307751,$64.71,$64.82,$63.28
08/19/2020,$65.87,4979510,$66.57,$66.73,$65.69
08/18/2020,$66.43,6166721,$67.39,$67.39,$66.07
08/17/2020,$66.94,6883006,$68.1,$68.23,$66.77
08/14/2020,$67.62,23421920,$67.39,$69.9,$66.5
08/13/2020,$65.07,10684350,$66.36,$66.6,$64.61
08/12/2020,$66.5,6177867,$64.99,$66.67,$64.7
08/11/2020,$64.46,7608649,$65.32,$66.12,$64.23
08/10/2020,$65.24,7386983,$63.65,$65.28,$63.62
08/07/2020,$63.57,7124232,$63.69,$65.01,$62.78
08/06/2020,$63.61,7395898,$63.87,$64.17,$62.6
08/05/2020,$64.87,4574091,$64.873,$65.25,$64.42
08/04/2020,$64.85,5190185,$65,$65.2,$64.18
08/03/2020,$65.01,5540739,$64.79,$65.59,$64.68
07/31/2020,$64.33,5901236,$64.79,$64.79,$63.12
07/30/2020,$64.42,5525019,$63.23,$64.43,$62.987
07/29/2020,$63.25,4621405,$62.67,$63.66,$62.17
07/28/2020,$62.3,4565741,$62.53,$62.95,$61.9
07/27/2020,$63.01,7194708,$61.63,$63.065,$61.11
07/24/2020,$60.62,11040980,$60.37,$61.35,$59.62
07/23/2020,$63.63,5351832,$64.33,$65.33,$63.2
07/22/2020,$64.22,5027849,$63.58,$64.61,$63.52
07/21/2020,$63.81,5836686,$64.12,$64.84,$63.26
07/20/2020,$63.73,5017027,$62.61,$63.9,$61.88
07/17/2020,$62.3,4585216,$62.85,$62.85,$61.95
07/16/2020,$62.34,3934305,$61.61,$62.62,$61.5
07/15/2020,$62.1,5226458,$62.75,$62.84,$61.3
07/14/2020,$62.54,6297457,$60.8,$62.63,$60.07
07/13/2020,$61.51,6178740,$63.01,$63.78,$61.41
07/10/2020,$62.59,5899163,$63.28,$63.49,$62.045
07/09/2020,$63.49,6155929,$63.08,$63.7,$62.24
07/08/2020,$62.77,4045675,$62.9,$63.1756,$62.02
07/07/2020,$62.18,5078196,$63.38,$63.83,$62.03
07/06/2020,$63.46,7776863,$62.39,$63.705,$62.29
07/02/2020,$61,5596111,$60.5,$61.645,$60.34
07/01/2020,$59.68,5305213,$60.425,$60.78,$59.54
06/30/2020,$60.45,6067595,$59.12,$60.94,$59.069
06/29/2020,$59.06,5035850,$58.44,$59.07,$57.56
06/26/2020,$58.38,12786510,$59.57,$60.14,$58.01
06/25/2020,$59.98,6298882,$59.6,$60.07,$58.606
06/24/2020,$59.97,7937250,$60.33,$60.89,$59.15
06/23/2020,$60.84,7264936,$61.93,$61.98,$60.44
06/22/2020,$61.27,5379935,$60.52,$61.3864,$59.58
06/19/2020,$60.95,10086930,$61.4,$62.33,$60.41
06/18/2020,$60.38,5673980,$59.57,$60.72,$59.57
06/17/2020,$60,8338041,$58.73,$60.43,$58.54
06/16/2020,$58.54,9719139,$58.96,$60.1304,$57.9
06/15/2020,$57.05,7222230,$54.92,$57.231,$54.52
06/12/2020,$56.55,8534153,$57.51,$58.01,$54.97
06/11/2020,$55.41,9386832,$58.26,$58.59,$55.35
06/10/2020,$59.86,5319825,$60.2,$60.57,$59.46
06/09/2020,$59.79,6184250,$59.02,$60.26,$58.93
06/08/2020,$59.9,5528660,$59.93,$60.47,$59.09
06/05/2020,$60.19,8349728,$59.71,$61.11,$59.62
06/04/2020,$58.13,7456860,$57.16,$59.2,$57.1
06/03/2020,$57.81,8026744,$56.69,$58.25,$56.41
06/02/2020,$55.79,6998693,$56,$56.22,$54.75
06/01/2020,$55.685,5377115,$55.63,$56.465,$55.19
05/29/2020,$56.18,10820230,$55,$56.375,$54.46
05/28/2020,$54.67,7239260,$56.12,$56.68,$54.35
05/27/2020,$56.4,9071585,$55.591,$56.44,$53.315
05/26/2020,$55.14,7757569,$56.31,$56.71,$54.96
05/22/2020,$54.39,7121020,$55.02,$55.17,$53.72
05/21/2020,$55.02,7467173,$56.84,$56.92,$54.845
05/20/2020,$56.88,9824053,$56.5,$58.16,$56.32
05/19/2020,$55.47,10535650,$54.5,$56.995,$54.03
05/18/2020,$54.36,11300620,$53.53,$54.65,$52.41
05/15/2020,$52.04,20755930,$53.16,$53.47,$51.17
05/14/2020,$54.43,15838960,$50.75,$54.65,$49.66
05/13/2020,$51.49,8696554,$52.5,$52.86,$50.4
05/12/2020,$52.33,7479010,$54.4,$54.59,$52.31
05/11/2020,$54.01,8211460,$54.127,$54.405,$53.37
05/08/2020,$53.81,8089548,$52.41,$53.89,$52.24
05/07/2020,$51.25,6645646,$51.46,$51.8,$50.91
05/06/2020,$50.5,8594562,$49.99,$51.16,$49.54
05/05/2020,$48.85,8220563,$48.826,$50.75,$48.53
05/04/2020,$47.58,7798029,$46.56,$47.64,$46.22
05/01/2020,$46.89,13583130,$48.08,$48.36,$46.37
04/30/2020,$49.68,14456990,$53.45,$53.88,$49.64
04/29/2020,$54.34,8946250,$51.83,$54.645,$51.42
04/28/2020,$50.42,7759524,$51.91,$52.12,$50.26
04/27/2020,$51.03,6587434,$52.5,$52.72,$50.65
04/24/2020,$51.74,7665048,$51.22,$51.88,$49.935
04/23/2020,$50.9,9048275,$51.75,$52.22,$50.59
04/22/2020,$52.11,7790213,$50.1,$52.43,$49.8068
04/21/2020,$48.33,9359637,$49.9,$50.05,$48.21
04/20/2020,$50.63,7041189,$52.1,$52.49,$50.61
04/17/2020,$53.2,9367590,$53.635,$53.9,$52.27
04/16/2020,$52.23,8878072,$51.87,$52.57,$50.8
04/15/2020,$50.37,7206676,$51.31,$51.31,$49.745
04/14/2020,$52.47,8025517,$51.41,$52.84,$51.08
04/13/2020,$49.88,5750047,$49.3,$49.97,$48.37
